database,initial_mb,final_mb,growth_mb,growth_rate_kbps
db1,0.00,0.00,0.00,0.00
db12,0.00,0.00,0.00,0.00
db17,0.00,0.00,0.00,0.00
db3,0.00,0.00,0.00,0.00
db2,0.00,0.00,0.00,0.00
db16,0.00,0.00,0.00,0.00
db18,0.00,0.00,0.00,0.00
db8,0.00,0.00,0.00,0.00
db10,0.00,0.00,0.00,0.00
db4,0.00,0.00,0.00,0.00
db6,0.00,0.00,0.00,0.00
db14,0.00,0.00,0.00,0.00
db7,0.00,0.00,0.00,0.00
db15,0.00,0.00,0.00,0.00
db20,0.00,0.00,0.00,0.00
db9,0.00,0.00,0.00,0.00
db19,0.00,0.00,0.00,0.00
db13,0.00,0.00,0.00,0.00
db5,0.00,0.00,0.00,0.00
db11,0.00,0.00,0.00,0.00
